,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
0,1,2004-01-01,Parking,Alquiler,Lleida,291,2133903,2004-06-19,Carmen
3,4,2004-01-02,Parking,Alquiler,Girona,285,1815450,2004-04-27,Jesús
6,7,2004-01-03,Parking,Alquiler,Tarragona,69,406686,2004-06-07,Pedro
9,10,2004-01-04,Parking,Venta,Lleida,299,2042768,2004-10-06,Joaquín
12,13,2004-01-04,Parking,Venta,Barcelona,300,2937300,2004-11-04,Jesús
38,39,2004-01-18,Parking,Alquiler,Tarragona,215,1154980,2005-01-14,Joaquín
72,73,2004-01-28,Parking,Alquiler,Barcelona,62,320044,2004-09-04,Joaquín
78,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
79,80,2004-01-31,Parking,Alquiler,Barcelona,217,1339107,2004-10-05,Carmen
81,82,2004-02-02,Parking,Venta,Girona,117,1069731,2004-09-14,Pedro
87,88,2004-02-03,Parking,Alquiler,Tarragona,58,421196,2004-10-10,Pedro
109,110,2004-02-12,Parking,Venta,Barcelona,206,1587642,2004-12-20,Luisa
115,116,2004-02-15,Parking,Venta,Girona,103,973659,2005-01-04,Jesús
118,119,2004-02-16,Parking,Venta,Lleida,51,307989,2004-07-06,Pedro
120,121,2004-02-17,Parking,Venta,Barcelona,152,688864,2004-12-06,Jesús
128,129,2004-02-21,Parking,Alquiler,Lleida,206,1363926,2005-01-08,Carmen
143,144,2004-02-28,Parking,Alquiler,Barcelona,121,782870,2004-11-19,Pedro
145,146,2004-02-28,Parking,Venta,Girona,274,2028970,2004-08-20,Luisa
146,147,2004-02-28,Parking,Alquiler,Barcelona,76,734388,2004-05-28,Joaquín
166,167,2004-03-06,Parking,Venta,Girona,169,1370759,2005-01-14,Luisa
188,189,2004-03-17,Parking,Venta,Girona,160,1261600,2004-10-25,Jesús
189,190,2004-03-17,Parking,Alquiler,Lleida,95,448210,2004-10-25,Pedro
199,200,2004-03-22,Parking,Venta,Tarragona,281,2108343,2004-09-26,Pedro
200,201,2004-03-22,Parking,Venta,Girona,247,1050985,2004-11-09,Pedro
208,209,2004-03-24,Parking,Venta,Lleida,167,1643948,2004-09-21,María
210,211,2004-03-25,Parking,Alquiler,Barcelona,269,2134246,2004-08-11,Carmen
214,215,2004-03-27,Parking,Alquiler,Girona,214,1219158,2004-07-13,Pedro
224,225,2004-04-01,Parking,Alquiler,Barcelona,152,1069320,2004-12-15,Jesús
239,240,2004-04-06,Parking,Venta,Barcelona,164,1298716,2004-12-03,Luisa
251,252,2004-04-09,Parking,Alquiler,Lleida,168,1622040,2004-10-15,María
252,253,2004-04-10,Parking,Venta,Tarragona,106,567206,2004-08-08,María
258,259,2004-04-11,Parking,Venta,Tarragona,138,1183212,2005-02-26,Luisa
