Tipo,Referencia,Fecha Alta,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
Parking,1,2004-01-01,Alquiler,Lleida,291,2133903,2004-06-19,Carmen
Oficina,3,2004-01-01,Alquiler,Girona,82,712416,2004-11-08,Joaquín
Parking,7,2004-01-03,Alquiler,Tarragona,69,406686,2004-06-07,Pedro
Oficina,8,2004-01-03,Venta,Girona,235,2158475,2004-10-31,Jesús
Parking,10,2004-01-04,Venta,Lleida,299,2042768,2004-10-06,Joaquín
Parking,13,2004-01-04,Venta,Barcelona,300,2937300,2004-11-04,Jesús
Local,14,2004-01-04,Venta,Tarragona,68,664700,2004-10-01,Carmen
Casa,17,2004-01-05,Alquiler,Tarragona,58,358846,2004-10-08,Luisa
Piso,19,2004-01-07,Alquiler,Girona,55,472615,2004-04-09,Luisa
Industrial,21,2004-01-09,Venta,Barcelona,228,2020992,2004-06-12,Carmen
Oficina,24,2004-01-10,Alquiler,Tarragona,79,427390,2004-12-01,Joaquín
Local,26,2004-01-10,Alquiler,Tarragona,70,549780,2004-06-22,Jesús
Local,27,2004-01-11,Alquiler,Tarragona,70,659330,2004-12-23,Pedro
Casa,29,2004-01-12,Alquiler,Tarragona,91,753571,2004-07-07,Luisa
Casa,32,2004-01-13,Alquiler,Girona,92,627348,2004-04-12,María
Casa,34,2004-01-15,Venta,Barcelona,281,2483197,2004-11-01,María
Oficina,43,2004-01-19,Alquiler,Girona,74,579716,2004-09-22,María
Oficina,45,2004-01-20,Alquiler,Barcelona,287,2851058,2005-01-02,Joaquín
Piso,47,2004-01-20,Alquiler,Barcelona,53,249418,2004-08-11,Luisa
Local,49,2004-01-20,Venta,Girona,40,321680,2005-01-11,Jesús
Industrial,51,2004-01-20,Venta,Lleida,90,568620,2004-12-14,Joaquín
Suelo,54,2004-01-22,Alquiler,Barcelona,71,686996,2004-05-30,Luisa
Piso,56,2004-01-23,Venta,Lleida,54,239220,2004-05-01,María
Oficina,57,2004-01-23,Alquiler,Lleida,54,512730,2004-07-04,Carmen
Local,58,2004-01-24,Alquiler,Girona,274,2287626,2004-12-21,María
Industrial,64,2004-01-26,Venta,Lleida,57,509010,2004-10-13,María
Suelo,66,2004-01-27,Venta,Lleida,272,2119424,2004-12-24,Pedro
Local,68,2004-01-27,Alquiler,Barcelona,68,376992,2004-06-28,Luisa
Local,69,2004-01-27,Venta,Girona,248,2212408,2004-10-09,María
Parking,73,2004-01-28,Alquiler,Barcelona,62,320044,2004-09-04,Joaquín
Suelo,75,2004-01-29,Venta,Tarragona,41,187862,2004-08-14,Jesús
Piso,78,2004-01-31,Venta,Lleida,87,448485,2004-10-04,María
Parking,79,2004-01-31,Venta,Barcelona,298,2520484,2004-11-27,Carmen
Suelo,83,2004-02-02,Venta,Lleida,56,471072,2004-05-29,María
Piso,84,2004-02-02,Venta,Barcelona,94,470940,2004-07-28,Carmen
Piso,86,2004-02-03,Venta,Girona,275,2141700,2005-01-08,Jesús
Industrial,87,2004-02-03,Alquiler,Barcelona,93,778875,2004-05-12,Luisa
Parking,88,2004-02-03,Alquiler,Tarragona,58,421196,2004-10-10,Pedro
Local,89,2004-02-04,Alquiler,Barcelona,49,219716,2004-09-27,Jesús
Suelo,90,2004-02-04,Venta,Girona,292,2685816,2004-07-24,Pedro
Piso,92,2004-02-05,Alquiler,Barcelona,48,388032,2004-05-06,Jesús
Local,95,2004-02-06,Venta,Barcelona,68,663816,2004-05-23,Joaquín
Suelo,97,2004-02-07,Venta,Tarragona,96,625536,2004-11-07,Jesús
Industrial,99,2004-02-07,Alquiler,Girona,251,2067236,2004-12-22,María
Local,102,2004-02-08,Venta,Barcelona,45,438435,2004-05-23,Luisa
Piso,106,2004-02-10,Alquiler,Lleida,300,2105700,2005-01-26,Pedro
Suelo,113,2004-02-13,Alquiler,Barcelona,89,887241,2005-01-02,Luisa
Industrial,115,2004-02-14,Venta,Tarragona,54,438750,2004-08-15,Carmen
Oficina,118,2004-02-15,Venta,Girona,253,2047276,2004-09-10,Luisa
Parking,119,2004-02-16,Venta,Lleida,51,307989,2004-07-06,Pedro
Local,131,2004-02-21,Venta,Lleida,55,477345,2004-09-04,Carmen
Suelo,133,2004-02-22,Alquiler,Tarragona,62,391964,2004-11-14,Pedro
Local,135,2004-02-22,Venta,Lleida,45,229455,2004-10-05,Jesús
Industrial,138,2004-02-24,Venta,Girona,88,678480,2004-12-28,Luisa
Local,139,2004-02-26,Alquiler,Tarragona,63,533925,2004-09-22,Joaquín
Suelo,141,2004-02-27,Venta,Barcelona,47,455477,2004-12-31,Joaquín
Piso,145,2004-02-28,Venta,Girona,50,315550,2004-10-14,Pedro
Parking,146,2004-02-28,Venta,Girona,274,2028970,2004-08-20,Luisa
Parking,147,2004-02-28,Alquiler,Barcelona,76,734388,2004-05-28,Joaquín
Piso,153,2004-03-02,Venta,Lleida,68,434656,2004-07-13,María
Industrial,154,2004-03-02,Alquiler,Lleida,52,508924,2004-09-03,Pedro
Oficina,166,2004-03-06,Venta,Tarragona,250,2275500,2004-07-29,Luisa
Industrial,169,2004-03-07,Alquiler,Barcelona,286,2080078,2004-07-14,Jesús
Suelo,170,2004-03-08,Alquiler,Lleida,73,597286,2005-02-20,Joaquín
Oficina,173,2004-03-09,Venta,Girona,268,2400476,2005-03-08,Joaquín
Local,175,2004-03-10,Venta,Barcelona,52,416936,2004-08-25,Carmen
Oficina,181,2004-03-12,Venta,Tarragona,42,367584,2004-08-11,Joaquín
Industrial,185,2004-03-15,Venta,Barcelona,265,2109930,2004-08-27,María
Casa,186,2004-03-16,Alquiler,Girona,87,779868,2004-10-23,Jesús
Local,187,2004-03-16,Alquiler,Barcelona,95,919030,2004-12-10,María
Casa,188,2004-03-16,Venta,Lleida,63,537264,2005-02-08,Carmen
Parking,190,2004-03-17,Alquiler,Lleida,95,448210,2004-10-25,Pedro
Suelo,191,2004-03-18,Alquiler,Tarragona,71,431325,2004-07-23,Carmen
Local,192,2004-03-18,Venta,Girona,56,553616,2005-03-09,Pedro
Suelo,193,2004-03-18,Venta,Tarragona,59,453651,2004-10-07,María
Piso,195,2004-03-19,Venta,Girona,62,250852,2004-07-21,Carmen
Piso,197,2004-03-20,Venta,Tarragona,87,519738,2005-01-13,Carmen
Parking,200,2004-03-22,Venta,Tarragona,281,2108343,2004-09-26,Pedro
Piso,202,2004-03-22,Alquiler,Girona,52,298272,2004-08-13,María
Local,205,2004-03-23,Venta,Girona,274,2002392,2004-12-04,Luisa
Piso,206,2004-03-23,Alquiler,Lleida,250,2253500,2005-02-21,Joaquín
Parking,211,2004-03-25,Alquiler,Barcelona,269,2134246,2004-08-11,Carmen
Casa,212,2004-03-25,Alquiler,Barcelona,63,492156,2004-10-25,Carmen
Suelo,218,2004-03-29,Alquiler,Tarragona,65,461435,2004-12-31,Carmen
Industrial,219,2004-03-29,Alquiler,Girona,46,351256,2005-03-28,Luisa
Casa,221,2004-03-30,Alquiler,Barcelona,56,474600,2004-08-27,Pedro
Local,222,2004-03-30,Alquiler,Girona,82,420660,2004-10-02,María
Suelo,223,2004-03-31,Alquiler,Girona,62,489924,2004-09-09,Luisa
Local,228,2004-04-01,Venta,Girona,211,2010619,2004-11-12,Jesús
Industrial,236,2004-04-03,Venta,Girona,226,2104286,2004-08-26,Carmen
Piso,239,2004-04-05,Alquiler,Lleida,268,2338032,2005-01-02,Pedro
Local,241,2004-04-06,Venta,Lleida,260,2038660,2004-07-26,Carmen
Suelo,242,2004-04-07,Venta,Barcelona,69,656535,2004-08-16,Jesús
Industrial,249,2004-04-09,Venta,Tarragona,223,2026401,2004-12-13,Joaquín
Piso,254,2004-04-10,Venta,Girona,67,379689,2004-10-29,Pedro
Local,255,2004-04-10,Alquiler,Barcelona,49,424536,2005-03-04,Pedro
Parking,269,2004-04-15,Venta,Lleida,52,446888,2004-09-01,María
Suelo,272,2004-04-15,Venta,Lleida,270,2409210,2004-09-03,Carmen
Parking,277,2004-04-17,Venta,Barcelona,209,2038586,2005-01-06,Jesús
Casa,282,2004-04-18,Venta,Girona,285,2534505,2004-12-28,Jesús
Suelo,284,2004-04-19,Alquiler,Girona,262,2404898,2004-10-20,Luisa
Industrial,286,2004-04-19,Venta,Barcelona,65,523770,2005-01-24,Jesús
Parking,292,2004-04-21,Venta,Barcelona,54,258444,2005-03-08,Pedro
Parking,293,2004-04-22,Venta,Girona,82,430418,2005-02-09,Luisa
Oficina,294,2004-04-22,Venta,Girona,86,589960,2005-03-18,Carmen
Suelo,297,2004-04-23,Alquiler,Girona,288,2699136,2004-07-28,Pedro
Industrial,299,2004-04-23,Venta,Girona,45,307170,2005-04-16,Joaquín
Suelo,300,2004-04-23,Alquiler,Tarragona,85,683230,2005-02-06,Carmen
Casa,304,2004-04-26,Alquiler,Barcelona,298,2612566,2005-02-16,Pedro
Suelo,311,2004-04-28,Venta,Lleida,61,605425,2004-12-29,Carmen
Local,313,2004-04-30,Alquiler,Barcelona,91,391391,2005-02-13,Luisa
